epoch,train_loss,val_loss,learning_rate
1,0.4756994789991623,0.36912918309955034,0.005
2,0.3667610616892831,0.3229141371215091,0.005
3,0.3457333991924922,0.29555732778766575,0.005
4,0.32417354051373964,0.2813519193407367,0.005
5,0.3123947980566921,0.2784656987470739,0.005
6,0.28692697994729394,0.27450543620130596,0.0005
7,0.29053210626300585,0.273863603525302,0.0005
8,0.28992017543214,0.27547267276574583,0.0005
9,0.28793723174394703,0.27123262163470774,0.0005
10,0.28457332720868606,0.27265416392508673,0.0005
11,0.27454884210203445,0.2730248535380644,5e-05
12,0.2748204525719341,0.2704772539436817,5e-05
13,0.2722392617127834,0.27170976886854453,5e-05
14,0.28270930032699537,0.26967501158223434,5e-05
15,0.2756461147059742,0.26946136618361755,5e-05
